title	location	description	startDate	endDate	url	imageUrl	type
David Hockney A Year in Normandie	Salts Mill, Saltaire, Bradford	A Year in Normandie 2020–2021 (detail), Composite iPad painting	2023-04-29	2023-10-29	http://www.saltsmill.org.uk/#	https://www.hockney.com/img/exhibitions/DH_YIN_PR_2.jpg	past
Portrait of a Nation: 2022 Honorees	National Portrait Gallery, Smithsonian Institution	Clive Davis, 23rd May 2022, Acrylic on Canvas	2022-11-10	2023-10-22	https://npg.si.edu/exhibition/PON-2022-honorees	https://www.hockney.com/img/exhibitions/CDavis.jpg	past
Portraits of Dogs: from Gainsborough to Hockney	The Wallace Collection, London		2023-03-29	2023-10-15	https://www.wallacecollection.org/art/exhibitions-displays/portraits-of-dogs-from-gainsborough-to-hockney/	https://www.hockney.com/img/exhibitions/wallacedogs2.jpg	past
David Hockney: A Year in Normandie in Dialogue with Works of The Würth Collection	Museum Würth 2, Künzelsau, Germany	A Year in Normandie 2020-2021 (detail), Composite iPad painting	2023-04-03	2023-09-03	https://news.wuerth.com/david-hockney-a-year-in-normandie-in-dialogue-with-works-from-the-wuerth-collection/	https://www.hockney.com/img/exhibitions/DH_YIN_PR_3.jpg	past
David Hockney: Bigger & Closer (not smaller & further away)	King's Cross, London		2023-02-22	2023-06-04	https://lightroom.uk/whats-on/david-hockney/	https://www.hockney.com/img/exhibitions/Lightroom_Hockney_Bigger_and_Closer_title_card_sm.jpg	past
David Hockney: A Year in Normandie	Bayeux Museum, Bayeux, Normandy	A Year in Normandie 2020-2021 (detail), Composite iPad painting	2022-09-22	2023-04-23	https://www.bayeuxmuseum.com/actus/david-hockney-expose-a-la-tapisserie-de-bayeux/	https://www.hockney.com/img/exhibitions/IPD-2578_detail1_sm.jpg	past
Freedom of Movement: Contemporary Art and Design from the NGV Collection	National Gallery of Victoria, Melbourne, Australia	Untitled No. 10 from "The Yosemite Suite"	2022-12-03	2023-04-10	https://www.ngv.vic.gov.au/exhibition/freedom-of-movement/	https://www.hockney.com/img/exhibitions/unnamed.png	past
David Hockney: 20 Flowers and Some Bigger Pictures	Pace Gallery, New York	August 2021, Landscape with Shadows - Twelve iPad paintings comprising a single work	2023-01-12	2023-02-25	https://www.pacegallery.com/journal/david-hockney-20-flowers-and-some-bigger-pictures/	https://www.hockney.com/img/exhibitions/IPD-2819sm.jpg	past
Hockney's Eye: Art, technology and depiction	Teylers Museum, Haarlem, Netherlands	Self Portrait, 22nd November 2021, Acrylic on canvas	2022-09-23	2023-01-29	https://www.teylersmuseum.nl/en/	https://www.hockney.com/img/exhibitions/21A14_72dpi.jpg	past
David Hockney: The Arrival of Spring, Normandy, 2020	Art Institute of Chicago	21st May 2020, iPad painting	2022-08-20	2023-01-09	https://www.artic.edu/exhibitions/9705/david-hockney-the-arrival-of-spring-normandy-2020	https://www.hockney.com/img/exhibitions/IPD-2221sm.jpg	past
David Hockney: 20 Flowers and Some Bigger Pictures	LA Louver, Los Angeles	August 2021, Landscape with Shadows - Twelve iPad paintings comprising a single work	2022-11-16	2023-01-07	https://www.lalouver.com/exhibition.cfm?tExhibition_id=2050	https://www.hockney.com/img/exhibitions/IPD-2819sm.jpg	past
David Hockney: 20 Flowers and Some Bigger Pictures	Gray Gallery, Chicago	August 2021, Landscape with Shadows - Twelve iPad paintings comprising a single work	2022-11-04	2022-12-23	https://www.richardgraygallery.com/news/for-immediate-release13	https://www.hockney.com/img/exhibitions/IPD-2819sm.jpg	past
David Hockney: 20 Flowers and Some Bigger Pictures	Annely Juda Fine Art, London	August 2021, Landscape with Shadows - Twelve iPad paintings comprising a single work	2022-11-03	2022-12-23	https://www.annelyjudafineart.co.uk/exhibitions/352-david-hockney-20-flowers-and-some-bigger-pictures/overview/	https://www.hockney.com/img/exhibitions/IPD-2819sm.jpg	past
David Hockney: 20 Flowers and Some Bigger Pictures	Galerie Lelong & Co., Paris	August 2021, Landscape with Shadows - Twelve iPad paintings comprising a single work	2022-11-03	2022-12-22	https://www.galerie-lelong.com/en/exposition/163/david-hockney-20-flowers-and-some-bigger-pictures	https://www.hockney.com/img/exhibitions/IPD-2819sm.jpg	past
David Hockney Moving Focus	Kunstmuseum Luzern, Lucerne, Switzerland	Interior with Blue Terrace and Garden, 2017 - Acrylic on canvas	2022-07-09	2022-10-30	https://www.kunstmuseumluzern.ch/en/exhibitions/david-hockney/	https://www.hockney.com/img/exhibitions/17A01sm.jpg	past
David Hockney: People, Places & Things	Walker Art Center, Minneapolis	Piscine a Minuit (Paper Pool 19), 1978 - Colored and pressed paper pulp	2021-12-18	2022-09-25	https://walkerart.org/calendar/2021/david-hockney-people-places-things	https://www.hockney.com/img/exhibitions/78G09sm.jpg	past
David Hockney Love Life: Drawings 1963 to 1977	The Holburne Museum, Bath, United Kingdom	Ossie Wearing a Fairisle Sweater 1970, Colored pencil on paper	2022-05-27	2022-09-18	https://www.holburne.org/events/david-hockney-love-life-drawings-1963-to-1977/	https://www.hockney.com/img/exhibitions/70B03.jpg	past
Hockney – Matisse. Un paradis retrouvé	Musée Matisse, Nice, France	15th March 2021, iPad painting	2022-06-09	2022-09-18	https://www.musee-matisse-nice.org/en/exposition/hockney-matisse-un-paradis-retrouve-2/	https://www.hockney.com/img/exhibitions/IPD-2606sm2.jpg	past
Hockney's Eye: The Art and Technology of Depiction	The Fitzwilliam Museum, Cambridge	Self Portrait, 22nd November 2021, Acrylic on canvas	2022-03-15	2022-08-29	https://www.hockney.com/exhibitions/past	https://www.hockney.com/img/exhibitions/21A14_72dpi.jpg	past
I Am Here: Home Movies and Everyday Masterpieces	Art Gallery of Ontario, Toronto	Santa Monica Boulevard, 1978-1980 - Acrylic on Canvas	2022-04-13	2022-08-14	https://ago.ca/exhibitions/i-am-here-home-movies-and-everyday-masterpieces	https://www.hockney.com/img/exhibitions/78F05sm.jpg	past
David Hockney – Landscapes in Dialogue The Four Seasons from the Würth Collection	Gemaldegalerie, Berlin	Three Trees near Thixendale, Winter 2007 - Oil on 8 canvases	2022-04-09	2022-07-10	https://www.smb.museum/museen-einrichtungen/gemaeldegalerie/ausstellungen/detail/david-hockney-landschaften-im-dialog/	https://www.hockney.com/img/exhibitions/07A15.jpg	past
David Hockney: The Arrival of Spring, Normandy, 2020	Sakip Sabanci Müzesi, Istanbul	No. 219, 20th April 2020, iPad painting	2022-05-11	2022-06-29	https://www.sakipsabancimuzesi.org/en/exhibitions-and-events/exhibition/67	https://www.hockney.com/img/exhibitions/IPD-2012.jpg	past
David Hockney: INSIGHTS	Bank Austria Kunstforum Wien, Vienna	Man in Shower in Beverly Hills, 1964 - Acrylic on canvas	2022-02-10	2022-05-16	https://www.hockney.com/exhibitions/past	https://www.hockney.com/img/exhibitions/64A31_72dpi.jpg	past
David Hockney: A Year in Normandie and Some Other Thoughts about Painting	Serpentine North Gallery, London, UK	A Year in Normandie (detail), 2020-2021	2026-03-12	2026-08-23	https://www.serpentinegalleries.org/whats-on/david-hockney/	https://www.hockney.com/img/exhibitions/DH_YIN_PR_4_1.jpg	upcoming
The Moon Room	Galerie Lelong, Paris, France	26th November 2020, No. 2	2026-03-19	2026-05-07	https://www.galerie-lelong.com/en/artiste/28/david-hockney/	https://www.hockney.com/img/exhibitions/LelongMoonRoom.jpg	upcoming
David Hockney: Sunley Window 2026	Turner Contemporary, Rendezvous, Margate, UK	27th April 2020, No. 1	2026-04-01	2026-11-01	https://turnercontemporary.org/news/david-hockney-sunley-window-celebrating-15-years-of-turner-contemporary	https://www.hockney.com/img/exhibitions/TurnerContemporary.jpg	upcoming
